[SIMINFO]: Generating pseudo random numbers ...
[SIMINFO]: Generating topology scenario ...
[SIMINFO]: Generating node scenario ...
[SIMINFO]: Creating topology scenario reader ...
[SIMINFO]: Creating node scenario reader ...
[SIMINFO]: Creating 5 Node Objects
[SIMINFO]: 0: 10 -INITIALIZE-;
[SIMINFO]: 0: 0-4 -UP-;
[SIMINFO]: Node id range = 0-4
[SIMINFO]: 1000: 10 -STOP_SIMULATION-;
[SIMINFO]: Initialization: 0: Position: {20, 234}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: Initialization: 1: Position: {120, 378}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: Initialization: 2: Position: {67, 268}, Status: MOBILE, Mobility: 9.0s, 268.32 degrees, 1m/s Pause: 0.0s
[SIMINFO]: Initialization: 3: Position: {300, 478}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 7.0s
[SIMINFO]: 0: 0: Position: {20, 234}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 0: 1: Position: {120, 378}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 0: 2: Position: {67, 268}, Status: MOBILE, Mobility: 9.0s, 268.32 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 0: 3: Position: {300, 478}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 7.0s
[SIMINFO]: 1: 0: Position: {20, 234}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 1: 1: Position: {120, 378}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 1: 2: Position: {67, 267}, Status: MOBILE, Mobility: 8.0s, 268.32 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 1: 3: Position: {300, 478}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 6.0s
[SIMINFO]: 2: 0: Position: {20, 234}, Status: MOBILE, Mobility: 5.0s, 337.82 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 2: 1: Position: {120, 378}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 2: 2: Position: {67, 266}, Status: MOBILE, Mobility: 7.0s, 268.32 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 2: 3: Position: {300, 478}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 5.0s
[SIMINFO]: 3: 0: Position: {20, 230}, Status: MOBILE, Mobility: 4.0s, 337.82 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 3: 1: Position: {120, 378}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 3: 2: Position: {67, 265}, Status: MOBILE, Mobility: 6.0s, 268.32 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 3: 3: Position: {300, 478}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 4: 0: Position: {20, 226}, Status: MOBILE, Mobility: 3.0s, 337.82 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 4: 1: Position: {120, 378}, Status: MOBILE, Mobility: 3.0s, 204.83 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 4: 2: Position: {67, 264}, Status: MOBILE, Mobility: 5.0s, 268.32 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 4: 3: Position: {300, 478}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 5: 0: Position: {20, 222}, Status: MOBILE, Mobility: 2.0s, 337.82 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 5: 1: Position: {118, 377}, Status: MOBILE, Mobility: 2.0s, 204.83 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 5: 2: Position: {67, 263}, Status: MOBILE, Mobility: 4.0s, 268.32 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 5: 3: Position: {300, 478}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 6: 0: Position: {20, 218}, Status: MOBILE, Mobility: 1.0s, 337.82 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 6: 1: Position: {116, 376}, Status: MOBILE, Mobility: 1.0s, 204.83 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 6: 2: Position: {67, 262}, Status: MOBILE, Mobility: 3.0s, 268.32 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 6: 3: Position: {300, 478}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 7: 0: Position: {20, 214}, Status: MOBILE, Mobility: 0.0s, 337.82 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 7: 1: Position: {114, 375}, Status: MOBILE, Mobility: 0.0s, 204.83 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 7: 2: Position: {67, 261}, Status: MOBILE, Mobility: 2.0s, 268.32 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 7: 3: Position: {300, 478}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 8: 0: Position: {20, 214}, Status: MOBILE, Mobility: 5.0s, 254.4 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 8: 1: Position: {114, 375}, Status: MOBILE, Mobility: 8.0s, 178.42 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 8: 2: Position: {67, 260}, Status: MOBILE, Mobility: 1.0s, 268.32 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 8: 3: Position: {300, 478}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 9: 0: Position: {18, 214}, Status: MOBILE, Mobility: 4.0s, 254.4 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 9: 1: Position: {113, 376}, Status: MOBILE, Mobility: 7.0s, 178.42 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 9: 2: Position: {67, 259}, Status: MOBILE, Mobility: 0.0s, 268.32 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 9: 3: Position: {300, 478}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 10: 0: Position: {16, 214}, Status: MOBILE, Mobility: 3.0s, 254.4 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 10: 1: Position: {112, 377}, Status: MOBILE, Mobility: 6.0s, 178.42 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 10: 2: Position: {67, 259}, Status: MOBILE, Mobility: 1.0s, 270.97 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 10: 3: Position: {300, 478}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 6.0s
[SIMINFO]: 11: 0: Position: {14, 214}, Status: MOBILE, Mobility: 2.0s, 254.4 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 11: 1: Position: {111, 378}, Status: MOBILE, Mobility: 5.0s, 178.42 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 11: 2: Position: {69, 261}, Status: MOBILE, Mobility: 0.0s, 270.97 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 11: 3: Position: {300, 478}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 5.0s
[SIMINFO]: 12: 0: Position: {12, 214}, Status: MOBILE, Mobility: 1.0s, 254.4 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 12: 1: Position: {110, 379}, Status: MOBILE, Mobility: 4.0s, 178.42 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 12: 2: Position: {69, 261}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 12: 3: Position: {300, 478}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 13: 0: Position: {10, 214}, Status: MOBILE, Mobility: 0.0s, 254.4 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 13: 1: Position: {109, 380}, Status: MOBILE, Mobility: 3.0s, 178.42 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 13: 2: Position: {69, 261}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 13: 3: Position: {300, 478}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 14: 0: Position: {10, 214}, Status: MOBILE, Mobility: 6.0s, 121.54 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 14: 1: Position: {108, 381}, Status: MOBILE, Mobility: 2.0s, 178.42 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 14: 2: Position: {69, 261}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 14: 3: Position: {300, 478}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 15: 0: Position: {8, 217}, Status: MOBILE, Mobility: 5.0s, 121.54 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 15: 1: Position: {107, 382}, Status: MOBILE, Mobility: 1.0s, 178.42 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 15: 2: Position: {69, 261}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 15: 3: Position: {300, 478}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 16: 0: Position: {6, 220}, Status: MOBILE, Mobility: 4.0s, 121.54 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 16: 1: Position: {106, 383}, Status: MOBILE, Mobility: 0.0s, 178.42 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 16: 2: Position: {69, 261}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 16: 3: Position: {300, 478}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 17: 0: Position: {4, 223}, Status: MOBILE, Mobility: 3.0s, 121.54 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 17: 1: Position: {106, 383}, Status: MOBILE, Mobility: 5.0s, 349.46 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 17: 2: Position: {69, 261}, Status: MOBILE, Mobility: 4.0s, 148.75 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 17: 3: Position: {300, 478}, Status: MOBILE, Mobility: 9.0s, 17.42 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 18: 0: Position: {2, 226}, Status: MOBILE, Mobility: 2.0s, 121.54 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 18: 1: Position: {103, 380}, Status: MOBILE, Mobility: 4.0s, 349.46 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 18: 2: Position: {67, 257}, Status: MOBILE, Mobility: 3.0s, 148.75 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 18: 3: Position: {300, 477}, Status: MOBILE, Mobility: 8.0s, 17.42 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 19: 0: Position: {0, 229}, Status: MOBILE, Mobility: 1.0s, 121.54 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 19: 1: Position: {100, 377}, Status: MOBILE, Mobility: 3.0s, 349.46 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 19: 2: Position: {65, 253}, Status: MOBILE, Mobility: 2.0s, 148.75 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 19: 3: Position: {300, 476}, Status: MOBILE, Mobility: 7.0s, 17.42 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 20: 0: Position: {0, 232}, Status: MOBILE, Mobility: 0.0s, 17.99 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 20: 1: Position: {97, 374}, Status: MOBILE, Mobility: 2.0s, 349.46 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 20: 2: Position: {63, 249}, Status: MOBILE, Mobility: 1.0s, 148.75 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 20: 3: Position: {300, 475}, Status: MOBILE, Mobility: 6.0s, 17.42 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 21: 0: Position: {0, 232}, Status: MOBILE, Mobility: 1.0s, 7.36 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 21: 1: Position: {94, 371}, Status: MOBILE, Mobility: 1.0s, 349.46 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 21: 2: Position: {61, 245}, Status: MOBILE, Mobility: 0.0s, 148.75 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 21: 3: Position: {300, 474}, Status: MOBILE, Mobility: 5.0s, 17.42 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 22: 0: Position: {1, 235}, Status: MOBILE, Mobility: 0.0s, 7.36 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 22: 1: Position: {91, 368}, Status: MOBILE, Mobility: 0.0s, 349.46 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 22: 2: Position: {61, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 9.0s
